Program,IES,Full IES Name,Courses,Grade in 2013,PP2013,PP2014,PP2015,PP2016,BP2013,BP2014,BP2015,BP2016,CN2013,CN2014,CN2015,CN2016,TK2013,TK2014,TK2015,TK2016,SC2013,SC2014,SC2015,SC2016,EO2013,EO2014,EO2015,EO2016,Lecturers2016,Students2016,Collaborators2016
COMPUTACAO APLICADA,INPE,INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,M/D,5,59,76,47,61,10,6,8,7,110,70,92,86,18,7,3,11,0,0,1,2,5,9,2,9,30,105,159
MODELAGEM COMPUTACIONAL,LNCC,LABORATORIO NACIONAL DE COMPUTACAO CIENTIFICA,M/D,6,84,82,85,87,12,6,12,11,101,102,131,93,41,31,20,41,6,4,4,8,25,32,18,13,46,121,274
MODELAGEM COMPUTACIONAL,UERJ,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,M/D,5,29,43,39,63,8,17,5,32,59,93,61,68,1,2,2,3,0,0,0,0,3,7,4,6,23,127,155
MODELAGEM COMPUTACIONAL,UFJF,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,M/D,4,19,36,51,31,6,5,1,1,33,62,32,60,2,9,6,13,1,2,1,1,5,5,0,5,28,138,127
MODELAGEM COMPUTACIONAL,FURG,UNIVERSIDADE FEDERAL DO RIO GRANDE,M,4,37,46,79,57,18,13,5,16,108,157,110,231,18,4,14,9,1,0,0,0,4,9,4,14,21,191,280
Modelagem Matematica e Computacional,UFRRJ,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,M,4,15,25,27,30,0,3,8,5,53,56,57,45,11,14,6,10,1,4,0,1,8,14,4,6,22,19,103
MODELAGEM MATEMATICA E COMPUTACIONAL,CEFET/MG,CENTRO FEDERAL DE EDUCACAO TECN. DE MINAS GERAIS,M/D,4,27,39,34,47,5,6,5,4,77,67,83,87,12,5,16,12,0,0,0,0,3,3,1,3,27,144,249
MODELAGEM COMPUTACIONAL E TECNOLOGIA INDUSTRIAL,CIMATEC,FACULDADE DE TECNOLOGIA SENAI CIMATEC,M/D,4,38,46,26,56,14,14,28,30,54,80,128,126,6,2,46,41,7,4,4,8,12,5,8,8,17,102,115
